DFF 1.0,AC Specs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Selector,,Freq_32khz,,,Freq_100khz,,,Freq_500khz,,,Freq_1Mhz,,,Freq_2Mhz,,,Freq_4Mhz,,,Freq_8Mhz,,,Freq_10Mhz,,,Freq_16Mhz,,,Freq_18p2Mhz,,,Freq_20Mhz,,,Freq_25Mhz,,,Freq_30Mhz,,,Freq_32Mhz,,,Freq_40Mhz,,,Freq_50Mhz,,,,
,Symbol,Value,Name,Val,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Typ,Min,Max,Comment,
,t_per_50ns,0.00000005,Max,Max,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,,
,t_per_50ns,0.00000005,Typ,Typ,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,,
,t_per_50ns,0.00000005,Min,Min,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,0.00000005,,
,t_per_100ns,0.0000001,Max,Max,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,,
,t_per_100ns,0.0000001,Typ,Typ,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,,
,t_per_100ns,0.0000001,Min,Min,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,0.0000001,,
,t_per_125ns,0.000000125,Max,Max,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,,
,t_per_125ns,0.000000125,Typ,Typ,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,,
,t_per_125ns,0.000000125,Min,Min,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,0.000000125,,
,t_per_tad,0.0000045,Max,Max,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,,
,t_per_tad,0.000001,Typ,Typ,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,0.000001,0.0000005,0.0000045,,
